Opentime,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1703808000000,42563.76000000,42596.00000000,42563.75000000,42595.99000000,34.09179000,1703808059999,1451465.69580010,976,27.39520000,1166365.90888070,0
1703808060000,42595.99000000,42616.00000000,42590.00000000,42616.00000000,19.77170000,1703808119999,842238.11948300,930,11.39127000,485256.99738880,0
1703808120000,42615.99000000,42620.04000000,42615.99000000,42620.04000000,5.44142000,1703808179999,231895.01072570,389,3.50121000,149209.47432800,0
1703808180000,42620.03000000,42646.45000000,42618.04000000,42646.45000000,17.68966000,1703808239999,754071.62736110,686,9.51659000,405667.76763570,0
1703808240000,42646.44000000,42646.45000000,42625.74000000,42626.77000000,33.58238000,1703808299999,1431867.85947830,990,4.63721000,197690.25612330,0
1703808300000,42626.77000000,42649.01000000,42613.02000000,42646.11000000,20.36234000,1703808359999,868184.79289300,917,12.19865000,520085.07008330,0
1703808360000,42646.11000000,42655.13000000,42642.80000000,42655.13000000,13.95981000,1703808419999,595393.08014870,464,10.84956000,462742.19980150,0
1703808420000,42655.13000000,42668.15000000,42641.10000000,42641.11000000,21.45779000,1703808479999,915258.61885570,1048,7.18430000,306443.60820420,0
1703808480000,42641.11000000,42651.10000000,42620.00000000,42620.01000000,21.07822000,1703808539999,898753.22372440,980,5.51888000,235346.57381180,0
1703808540000,42620.01000000,42621.10000000,42601.10000000,42621.09000000,16.87034000,1703808599999,718864.76677780,711,9.40585000,400779.00148670,0
1703808600000,42621.09000000,42646.67000000,42621.09000000,42646.66000000,16.27471000,1703808659999,693942.27634610,651,9.19164000,391882.09913640,0
1703808660000,42646.67000000,42661.52000000,42646.66000000,42661.51000000,9.16584000,1703808719999,390944.77491420,588,7.69039000,328009.25974030,0
1703808720000,42661.51000000,42677.75000000,42659.80000000,42663.86000000,11.35682000,1703808779999,484586.90790930,737,3.26440000,139278.45737430,0
1703808780000,42663.85000000,42666.26000000,42663.85000000,42666.26000000,5.50813000,1703808839999,234998.58701050,276,1.99557000,85139.06148270,0
1703808840000,42666.26000000,42670.00000000,42666.25000000,42670.00000000,2.98552000,1703808899999,127383.05401520,309,1.26023000,53769.97708620,0
1703808900000,42669.99000000,42681.10000000,42659.04000000,42664.94000000,41.92411000,1703808959999,1788942.87562840,1392,20.04949000,855539.06866800,0
1703808960000,42664.95000000,42671.10000000,42654.28000000,42671.10000000,10.49204000,1703809019999,447579.22819840,576,6.20135000,264539.86046050,0
1703809020000,42671.10000000,42685.18000000,42671.09000000,42685.17000000,27.79965000,1703809079999,1186436.13143090,730,8.90756000,380150.38943210,0
1703809080000,42685.18000000,42685.18000000,42665.12000000,42669.81000000,24.93257000,1703809139999,1064083.59146990,944,5.09558000,217459.12440500,0
1703809140000,42669.81000000,42669.81000000,42646.67000000,42646.67000000,13.96180000,1703809199999,595597.51693780,580,1.37982000,58867.63637980,0
1703809200000,42646.67000000,42684.00000000,42628.10000000,42645.58000000,37.80901000,1703809259999,1612689.88002200,1500,24.59599000,1048938.76324680,0
1703809260000,42645.59000000,42645.59000000,42621.10000000,42621.10000000,10.92458000,1703809319999,465704.13956280,508,4.74351000,202217.24447110,0
1703809320000,42621.11000000,42621.11000000,42603.92000000,42603.93000000,19.91807000,1703809379999,848816.67437910,609,13.00543000,554223.80914990,0
1703809380000,42603.92000000,42603.93000000,42576.92000000,42583.62000000,14.62455000,1703809439999,622876.85041190,759,3.84663000,163812.77887350,0
1703809440000,42583.63000000,42590.23000000,42570.53000000,42584.69000000,15.50628000,1703809499999,660268.54598190,778,5.32651000,226791.08984310,0
1703809500000,42584.69000000,42603.30000000,42584.68000000,42589.96000000,96.53976000,1703809559999,4112358.90988680,1553,25.70057000,1094671.66708820,0
1703809560000,42589.97000000,42624.00000000,42583.19000000,42622.53000000,23.50666000,1703809619999,1001540.47083940,989,18.41456000,784602.58391140,0
1703809620000,42622.54000000,42654.21000000,42622.53000000,42652.47000000,38.52521000,1703809679999,1642743.97400990,1217,29.01221000,1237065.67479210,0
1703809680000,42652.47000000,42652.47000000,42626.28000000,42626.28000000,20.26957000,1703809739999,864156.43871240,917,12.30855000,524705.52663350,0
1703809740000,42626.28000000,42630.95000000,42626.28000000,42630.94000000,7.92886000,1703809799999,337991.30190920,428,7.00740000,298708.81359350,0
1703809800000,42630.95000000,42638.00000000,42583.20000000,42583.20000000,30.41592000,1703809859999,1296196.89253340,1164,7.39859000,315358.19065770,0
1703809860000,42583.20000000,42587.52000000,42551.10000000,42570.72000000,43.73193000,1703809919999,1861498.76595150,1406,18.82783000,801418.20626460,0
1703809920000,42570.71000000,42585.20000000,42513.85000000,42529.92000000,37.01248000,1703809979999,1575186.99249810,2167,12.14805000,517000.96754760,0
1703809980000,42529.92000000,42529.93000000,42513.81000000,42523.86000000,23.16669000,1703810039999,985079.51733040,1160,6.57849000,279714.98806770,0
1703810040000,42523.85000000,42577.50000000,42516.30000000,42577.50000000,23.62942000,1703810099999,1005374.00461340,1103,17.96843000,764498.70130570,0
1703810100000,42577.50000000,42577.50000000,42552.26000000,42568.53000000,34.88787000,1703810159999,1484867.86953770,927,22.01564000,936960.41301210,0
1703810160000,42568.53000000,42568.57000000,42547.50000000,42566.47000000,20.43708000,1703810219999,869825.69846840,785,10.56107000,449500.03863810,0
1703810220000,42566.47000000,42622.19000000,42566.47000000,42621.07000000,25.45641000,1703810279999,1084198.89815860,1263,17.28308000,736077.24970540,0
