Opentime,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1698710400000,34474.74000000,34600.00000000,34448.95000000,34511.89000000,1509.12335000,1698713999999,52099329.95033880,46590,664.21067000,22931957.80265190,0
1698714000000,34511.89000000,34540.00000000,34388.99000000,34449.21000000,1054.34623000,1698717599999,36324462.73124600,37741,452.70697000,15596134.21419370,0
1698717600000,34449.21000000,34460.00000000,34260.02000000,34352.01000000,1337.74014000,1698721199999,45959745.55175430,43090,486.64030000,16720681.46369750,0
1698721200000,34352.02000000,34375.78000000,34202.33000000,34209.33000000,1150.10437000,1698724799999,39428857.87521100,40261,461.23081000,15810911.13981120,0
1698724800000,34209.32000000,34289.53000000,34185.00000000,34236.10000000,1126.59333000,1698728399999,38566826.65130300,34657,623.55227000,21345242.89021430,0
1698728400000,34236.11000000,34337.31000000,34166.00000000,34282.21000000,1136.30229000,1698731999999,38940258.17833040,37520,535.07087000,18334965.45515760,0
1698732000000,34282.21000000,34352.25000000,34139.11000000,34246.67000000,1315.80599000,1698735599999,45094193.07658290,47390,647.25150000,22181583.17807510,0
1698735600000,34246.67000000,34299.40000000,34082.89000000,34145.21000000,1479.12418000,1698739199999,50542918.69953050,57083,684.45879000,23388546.16811240,0
1698739200000,34145.22000000,34416.66000000,34025.00000000,34400.92000000,2243.92048000,1698742799999,76819199.94639420,81462,1215.05799000,41603485.49329940,0
1698742800000,34400.92000000,34460.00000000,34337.97000000,34414.65000000,983.00080000,1698746399999,33812392.31141320,42174,529.81213000,18225423.69586620,0
1698746400000,34414.65000000,34450.00000000,34354.00000000,34433.50000000,956.58312000,1698749999999,32915120.97721580,38621,416.45812000,14329541.31403110,0
1698750000000,34433.49000000,34535.75000000,34385.94000000,34488.27000000,1505.93000000,1698753599999,51900493.54759100,48939,776.83184000,26774171.54970620,0
